id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2
17,2008,Hyderabad,2008-04-05,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,normal,0,Delhi Capitals,0,4,Harbhajan Singh,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",Umpire A,Umpire B
18,2008,Ahmedabad,2008-04-06,Rajasthan Royals,Punjab Kings,Punjab Kings,field,normal,0,Rajasthan Royals,87,0,S Dhawan,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
19,2008,Ahmedabad,2008-04-07,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,normal,0,Chennai Super Kings,0,5,HH Pandya,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
20,2008,Hyderabad,2008-04-08,Mumbai Indians,Punjab Kings,Punjab Kings,field,normal,0,Mumbai Indians,72,0,JC Archer,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",Umpire A,Umpire B
21,2008,Kolkata,2008-04-09,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,normal,0,Chennai Super Kings,43,0,CH Gayle,"Eden Gardens, Kolkata",Umpire A,Umpire B
22,2008,Hyderabad,2008-04-10,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,60,0,K Rabada,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",Umpire A,Umpire B
23,2008,Kolkata,2008-04-11,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,9,SS Iyer,"Eden Gardens, Kolkata",Umpire A,Umpire B
24,2008,Mumbai,2008-04-12,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,normal,0,Sunrisers Hyderabad,0,9,DJ Bravo,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
25,2008,Mumbai,2008-04-13,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Mumbai Indians,7,0,DJ Bravo,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
26,2008,Delhi,2008-04-14,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Royal Challengers Bangalore,25,0,SR Watson,"Arun Jaitley Stadium, Delhi",Umpire A,Umpire B
27,2008,Chennai,2008-04-15,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,normal,0,Punjab Kings,0,3,B Kumar,"MA Chidambaram Stadium, Chennai",Umpire A,Umpire B
28,2008,Bangalore,2008-04-16,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,normal,0,Rajasthan Royals,66,0,PP Chawla,"M Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
29,2008,Jaipur,2008-04-17,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,normal,0,Punjab Kings,0,6,YS Chahal,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
30,2008,Ahmedabad,2008-04-18,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,0,1,AM Rahane,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
31,2008,Lucknow,2008-04-19,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,normal,0,Rajasthan Royals,0,2,S Dhawan,"BRSABV Ekana Cricket Stadium, Lucknow",Umpire A,Umpire B
32,2008,Delhi,2008-04-20,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,normal,0,Kolkata Knight Riders,21,0,CH Gayle,"Arun Jaitley Stadium, Delhi",Umpire A,Umpire B
33,2008,Mumbai,2008-04-21,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Mumbai Indians,78,0,SL Malinga,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
34,2008,Hyderabad,2008-04-22,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,normal,0,Punjab Kings,0,9,AT Rayudu,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",Umpire A,Umpire B
35,2008,Chennai,2008-04-23,Mumbai Indians,Delhi Capitals,Delhi Capitals,bat,normal,0,Mumbai Indians,53,0,SK Raina,"MA Chidambaram Stadium, Chennai",Umpire A,Umpire B
36,2008,Lucknow,2008-04-24,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,4,CH Gayle,"BRSABV Ekana Cricket Stadium, Lucknow",Umpire A,Umpire B
37,2008,Delhi,2008-04-25,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,83,0,DA Warner,"Arun Jaitley Stadium, Delhi",Umpire A,Umpire B
38,2008,Mohali,2008-04-26,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,normal,0,Delhi Capitals,0,2,JJ Bumrah,"PCA Stadium, Mohali",Umpire A,Umpire B
39,2008,Chennai,2008-04-27,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,3,CH Gayle,"MA Chidambaram Stadium, Chennai",Umpire A,Umpire B
40,2008,Ahmedabad,2008-04-28,Punjab Kings,Rajasthan Royals,Punjab Kings,field,normal,0,Rajasthan Royals,0,9,MM Sharma,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
41,2008,Ahmedabad,2008-04-29,Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,normal,0,Punjab Kings,0,4,KA Pollard,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
42,2008,Mumbai,2008-04-30,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,normal,0,Rajasthan Royals,41,0,HH Pandya,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
43,2008,Mumbai,2008-05-01,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,5,HH Pandya,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
44,2008,Hyderabad,2008-05-02,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,normal,0,Rajasthan Royals,8,0,RG Sharma,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",Umpire A,Umpire B
45,2008,Jaipur,2008-05-03,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,normal,0,Chennai Super Kings,0,7,SS Iyer,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
46,2008,Lucknow,2008-05-04,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,10,0,V Kohli,"BRSABV Ekana Cricket Stadium, Lucknow",Umpire A,Umpire B
47,2008,Mohali,2008-05-05,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,49,0,Mohammed Shami,"PCA Stadium, Mohali",Umpire A,Umpire B
48,2008,Mumbai,2008-05-06,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,bat,normal,0,Sunrisers Hyderabad,42,0,HV Patel,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
49,2008,Mohali,2008-05-07,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Chennai Super Kings,0,5,AB de Villiers,"PCA Stadium, Mohali",Umpire A,Umpire B
50,2008,Mohali,2008-05-08,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,normal,0,Mumbai Indians,42,0,Z Khan,"PCA Stadium, Mohali",Umpire A,Umpire B
51,2008,Lucknow,2008-05-09,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,0,8,A Nehra,"BRSABV Ekana Cricket Stadium, Lucknow",Umpire A,Umpire B
52,2008,Kolkata,2008-05-10,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,normal,0,Rajasthan Royals,0,4,YS Chahal,"Eden Gardens, Kolkata",Umpire A,Umpire B
53,2008,Bangalore,2008-05-11,Mumbai Indians,Punjab Kings,Mumbai Indians,bat,normal,0,Mumbai Indians,56,0,F du Plessis,"M Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
54,2008,Delhi,2008-05-12,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,normal,0,Delhi Capitals,24,0,Harbhajan Singh,"Arun Jaitley Stadium, Delhi",Umpire A,Umpire B
55,2008,Kolkata,2008-05-13,Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,normal,0,Rajasthan Royals,0,2,DA Warner,"Eden Gardens, Kolkata",Umpire A,Umpire B
56,2008,Chennai,2008-05-14,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,9,Q de Kock,"MA Chidambaram Stadium, Chennai",Umpire A,Umpire B
57,2009,Jaipur,2009-03-20,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,9,AM Rahane,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
58,2009,Mumbai,2009-03-21,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,normal,0,Rajasthan Royals,52,0,JC Archer,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
59,2009,Chennai,2009-03-22,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Chennai Super Kings,0,2,SS Iyer,"MA Chidambaram Stadium, Chennai",Umpire A,Umpire B
60,2009,Ahmedabad,2009-03-23,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,4,MS Dhoni,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
61,2009,Ahmedabad,2009-03-24,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Chennai Super Kings,84,0,KA Pollard,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
62,2009,Ahmedabad,2009-03-25,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Punjab Kings,0,4,JP Duminy,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
63,2009,Ahmedabad,2009-03-26,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,normal,0,Rajasthan Royals,0,9,Q de Kock,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
64,2009,Jaipur,2009-03-27,Mumbai Indians,Punjab Kings,Punjab Kings,field,normal,0,Mumbai Indians,0,9,F du Plessis,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
65,2009,Ahmedabad,2009-03-28,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,normal,0,Chennai Super Kings,86,0,DJ Bravo,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
66,2009,Delhi,2009-03-29,Delhi Capitals,Chennai Super Kings,Delhi Capitals,field,normal,0,Chennai Super Kings,0,9,PP Chawla,"Arun Jaitley Stadium, Delhi",Umpire A,Umpire B
67,2009,Jaipur,2009-03-30,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,34,0,KL Rahul,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
68,2009,Hyderabad,2009-03-31,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Mumbai Indians,0,5,Harbhajan Singh,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",Umpire A,Umpire B
69,2009,Mumbai,2009-04-01,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,normal,0,Chennai Super Kings,0,9,KA Pollard,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
70,2009,Delhi,2009-04-02,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,normal,0,Kolkata Knight Riders,45,0,RG Sharma,"Arun Jaitley Stadium, Delhi",Umpire A,Umpire B
71,2009,Ahmedabad,2009-04-03,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,normal,0,Chennai Super Kings,0,3,RA Jadeja,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
72,2009,Ahmedabad,2009-04-04,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Kolkata Knight Riders,0,2,V Kohli,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
73,2009,Mohali,2009-04-05,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,normal,0,Rajasthan Royals,0,1,JP Duminy,"PCA Stadium, Mohali",Umpire A,Umpire B
74,2009,Kolkata,2009-04-06,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,normal,0,Sunrisers Hyderabad,0,9,RA Jadeja,"Eden Gardens, Kolkata",Umpire A,Umpire B
75,2009,Mumbai,2009-04-07,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,normal,0,Delhi Capitals,0,4,K Rabada,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
76,2009,Lucknow,2009-04-08,Delhi Capitals,Punjab Kings,Punjab Kings,bat,normal,0,Delhi Capitals,20,0,DA Warner,"BRSABV Ekana Cricket Stadium, Lucknow",Umpire A,Umpire B
77,2009,Hyderabad,2009-04-09,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Rajasthan Royals,33,0,SP Narine,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",Umpire A,Umpire B
78,2009,Mohali,2009-04-10,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,normal,0,Chennai Super Kings,23,0,RG Sharma,"PCA Stadium, Mohali",Umpire A,Umpire B
79,2009,Mumbai,2009-04-11,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,normal,0,Chennai Super Kings,29,0,Q de Kock,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
80,2009,Kolkata,2009-04-12,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Sunrisers Hyderabad,71,0,RA Jadeja,"Eden Gardens, Kolkata",Umpire A,Umpire B
81,2009,Lucknow,2009-04-13,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,79,0,SK Raina,"BRSABV Ekana Cricket Stadium, Lucknow",Umpire A,Umpire B
82,2009,Delhi,2009-04-14,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,normal,0,Delhi Capitals,0,7,MM Sharma,"Arun Jaitley Stadium, Delhi",Umpire A,Umpire B
83,2009,Chennai,2009-04-15,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,Rajasthan Royals,0,7,S Dhawan,"MA Chidambaram Stadium, Chennai",Umpire A,Umpire B
84,2009,Mumbai,2009-04-16,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,bat,normal,0,Royal Challengers Bangalore,0,2,SP Narine,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
85,2009,Ahmedabad,2009-04-17,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,7,T Natarajan,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
86,2009,Mohali,2009-04-18,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,bat,normal,0,Delhi Capitals,0,3,SP Narine,"PCA Stadium, Mohali",Umpire A,Umpire B
87,2009,Hyderabad,2009-04-19,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,field,normal,0,Royal Challengers Bangalore,0,8,KL Rahul,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",Umpire A,Umpire B
88,2009,Delhi,2009-04-20,Punjab Kings,Mumbai Indians,Mumbai Indians,field,no result,0,,0,0,,"Arun Jaitley Stadium, Delhi",Umpire A,Umpire B
89,2009,Ahmedabad,2009-04-21,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,normal,0,Rajasthan Royals,70,0,V Kohli,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
90,2009,Mumbai,2009-04-22,Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,8,0,DA Warner,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
91,2009,Ahmedabad,2009-04-23,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,normal,0,Mumbai Indians,0,3,RA Jadeja,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
92,2009,Chennai,2009-04-24,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,normal,0,Sunrisers Hyderabad,83,0,A Mishra,"MA Chidambaram Stadium, Chennai",Umpire A,Umpire B
93,2009,Delhi,2009-04-25,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,normal,0,Punjab Kings,0,5,JJ Bumrah,"Arun Jaitley Stadium, Delhi",Umpire A,Umpire B
94,2009,Mohali,2009-04-26,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,normal,0,Rajasthan Royals,4,0,KA Pollard,"PCA Stadium, Mohali",Umpire A,Umpire B
95,2009,Jaipur,2009-04-27,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Chennai Super Kings,0,1,RR Pant,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
96,2009,Hyderabad,2009-04-28,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,78,0,AM Rahane,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",Umpire A,Umpire B
97,2009,Chennai,2009-04-29,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,50,0,SL Malinga,"MA Chidambaram Stadium, Chennai",Umpire A,Umpire B
98,2009,Ahmedabad,2009-04-30,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,84,0,V Kohli,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
99,2009,Kolkata,2009-05-01,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,field,normal,0,Kolkata Knight Riders,0,1,SK Raina,"Eden Gardens, Kolkata",Umpire A,Umpire B
100,2009,Hyderabad,2009-05-02,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,normal,0,Mumbai Indians,0,5,SS Iyer,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",Umpire A,Umpire B
101,2009,Lucknow,2009-05-03,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,normal,0,Rajasthan Royals,72,0,RR Pant,"BRSABV Ekana Cricket Stadium, Lucknow",Umpire A,Umpire B
102,2009,Lucknow,2009-05-04,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,JP Duminy,"BRSABV Ekana Cricket Stadium, Lucknow",Umpire A,Umpire B
103,2009,Mohali,2009-05-05,Delhi Capitals,Punjab Kings,Punjab Kings,field,normal,0,Punjab Kings,0,5,UT Yadav,"PCA Stadium, Mohali",Umpire A,Umpire B
104,2009,Chennai,2009-05-06,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,0,Rajasthan Royals,5,0,RR Pant,"MA Chidambaram Stadium, Chennai",Umpire A,Umpire B
105,2009,Kolkata,2009-05-07,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,bat,normal,0,Mumbai Indians,12,0,SR Watson,"Eden Gardens, Kolkata",Umpire A,Umpire B
106,2009,Jaipur,2009-05-08,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,normal,0,Mumbai Indians,0,3,A Mishra,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
107,2009,Jaipur,2009-05-09,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,normal,0,Delhi Capitals,0,6,RR Pant,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
108,2009,Mumbai,2009-05-10,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,6,SS Iyer,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
109,2009,Mumbai,2009-05-11,Punjab Kings,Mumbai Indians,Mumbai Indians,bat,normal,0,Mumbai Indians,16,0,RR Pant,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
110,2009,Hyderabad,2009-05-12,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,normal,0,Chennai Super Kings,31,0,JP Duminy,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",Umpire A,Umpire B
111,2009,Lucknow,2009-05-13,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,normal,0,Mumbai Indians,0,9,A Mishra,"BRSABV Ekana Cricket Stadium, Lucknow",Umpire A,Umpire B
112,2009,Chennai,2009-05-14,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,2,CH Gayle,"MA Chidambaram Stadium, Chennai",Umpire A,Umpire B
113,2010,Kolkata,2010-03-20,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,7,F du Plessis,"Eden Gardens, Kolkata",Umpire A,Umpire B
114,2010,Mumbai,2010-03-21,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Mumbai Indians,26,0,Z Khan,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
115,2010,Lucknow,2010-03-22,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,normal,0,Kolkata Knight Riders,0,3,DJ Bravo,"BRSABV Ekana Cricket Stadium, Lucknow",Umpire A,Umpire B
116,2010,Ahmedabad,2010-03-23,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,8,K Rabada,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
117,2010,Kolkata,2010-03-24,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,80,0,Q de Kock,"Eden Gardens, Kolkata",Umpire A,Umpire B
118,2010,Delhi,2010-03-25,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,no result,0,,0,0,,"Arun Jaitley Stadium, Delhi",Umpire A,Umpire B
119,2010,Lucknow,2010-03-26,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Kolkata Knight Riders,0,9,JJ Bumrah,"BRSABV Ekana Cricket Stadium, Lucknow",Umpire A,Umpire B
120,2010,Delhi,2010-03-27,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,65,0,R Ashwin,"Arun Jaitley Stadium, Delhi",Umpire A,Umpire B
121,2010,Chennai,2010-03-28,Punjab Kings,Mumbai Indians,Punjab Kings,field,normal,0,Mumbai Indians,14,0,RG Sharma,"MA Chidambaram Stadium, Chennai",Umpire A,Umpire B
122,2010,Chennai,2010-03-29,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,normal,0,Delhi Capitals,0,8,DA Warner,"MA Chidambaram Stadium, Chennai",Umpire A,Umpire B
123,2010,Mumbai,2010-03-30,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,bat,normal,0,Chennai Super Kings,76,0,MS Dhoni,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
124,2010,Lucknow,2010-03-31,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,normal,0,Royal Challengers Bangalore,39,0,KL Rahul,"BRSABV Ekana Cricket Stadium, Lucknow",Umpire A,Umpire B
125,2010,Bangalore,2010-04-01,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,normal,0,Chennai Super Kings,32,0,Z Khan,"M Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
126,2010,Delhi,2010-04-02,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,normal,0,Royal Challengers Bangalore,0,6,S Dhawan,"Arun Jaitley Stadium, Delhi",Umpire A,Umpire B
